id_exercise,id_pattern,id_muscle,id_rol,english_name
Prensa horizontal,Sentadilla,Espalda media-baja,Estabilizador,Horizontal Leg Press
Prensa inclinada,Sentadilla,Espalda media-baja,Estabilizador,Incline Leg Press
Sentadilla con salto,Sentadilla,Espalda media-baja,Estabilizador,Jump Squat
Prensa de pierna,Sentadilla,Espalda media-baja,Estabilizador,Leg Press
Prensa de pierna unilateral,Sentadilla,Espalda media-baja,Estabilizador,Single-leg Leg Press
Sentadilla en Smith,Sentadilla,Espalda media-baja,Estabilizador,Smith Machine Squat
Prensa de pierna sumo,Sentadilla,Espalda media-baja,Estabilizador,Sumo Leg Press
Sentadilla touchdown,Sentadilla,Espalda media-baja,Estabilizador,Touchdown Squat
Zancadas con barra,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Barbell Lunge
Sentadilla con barra,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Barbell Squat
Sentadilla búlgara,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Bulgarian Split Squat
Sentadilla profunda,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Deep Squat
Zancadas con mancuernas,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Dumbbell Lunge
Sentadilla goblet,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Goblet Squat
Sentadilla Jefferson,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Jefferson Squat
Zancadas laterales,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Lateral Lunge
Sentadilla overhead,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Overhead Squat
Sentadilla sissy,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Sissy Squat
Sentadilla split,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Split Squat
Zancadas en escalón,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Step Lunge
Sentadilla sumo,Sentadilla con peso libre,Espalda media-baja,Estabilizador,Sumo Squat
Elevación de talones en máquina,Ejercicios de Aislamiento,Gemelos,Agonista,Calf Raise on Machine
Elevación de talones en prensa,Ejercicios de Aislamiento,Gemelos,Agonista,Leg Press Calf Raise
Elevación de talones sentado,Ejercicios de Aislamiento,Gemelos,Agonista,Seated Calf Raise
Elevación de talones en Smith unilateral,Ejercicios de Aislamiento,Gemelos,Agonista,Single-leg Smith Machine Calf Raise
Elevación de talones en Smith,Ejercicios de Aislamiento,Gemelos,Agonista,Smith Machine Calf Raise
Elevación de talones de pie,Ejercicios de Aislamiento,Gemelos,Agonista,Standing Calf Raise
Hiperextensiones,Bisagra de Cadera,Glúteos,Agonista,Hyperextensions
Peso muerto con trap bar,Bisagra de Cadera,Glúteos,Agonista,Trap Bar Deadlift
Hip thrust con barra,Bisagra de Cadera (Hip Thrust),Glúteos,Agonista,Barbell Hip Thrust
Puente de glúteos con mancuernas,Bisagra de Cadera (Hip Thrust),Glúteos,Agonista,Dumbbell Glute Bridge
Puente de glúteos,Bisagra de Cadera (Hip Thrust),Glúteos,Agonista,Glute Bridge
Hip thrust,Bisagra de Cadera (Hip Thrust),Glúteos,Agonista,Hip Thrust
Hip thrust unilateral,Bisagra de Cadera (Hip Thrust),Glúteos,Agonista,Single-leg Hip Thrust
Peso muerto convencional,Bisagra de Cadera (Peso muerto convencional),Glúteos,Agonista,Conventional Deadlift
Peso muerto con mancuernas,Bisagra de Cadera (Peso muerto convencional),Glúteos,Agonista,Dumbbell Deadlift
Peso muerto con kettlebell,Bisagra de Cadera (Peso muerto convencional),Glúteos,Agonista,Kettlebell Deadlift
Peso muerto unilateral,Bisagra de Cadera (Peso muerto convencional),Glúteos,Agonista,Single-leg Deadlift
Peso muerto con mancuernas unilateral,Bisagra de Cadera (Peso muerto convencional),Glúteos,Agonista,Single-leg Dumbbell Deadlift
Peso muerto sumo,Bisagra de Cadera (Peso muerto convencional),Glúteos,Agonista,Sumo Deadlift
Peso muerto rumano,Bisagra de Cadera (Peso muerto rumano),Glúteos,Sinergista fuerte,Romanian Deadlift
Tijeras en polea baja,Ejercicios de Aislamiento,Glúteos,Agonista,Low Cable Scissors
Step-up con barra,Extensión Horizontal de Cadera,Glúteos,Agonista,Barbell Step-up
Peso muerto búlgaro,Extensión Horizontal de Cadera,Glúteos,Agonista,Bulgarian Deadlift
Zancadas en Smith,Extensión Horizontal de Cadera,Glúteos,Agonista,Smith Machine Lunges
Step-ups,Extensión Horizontal de Cadera,Glúteos,Agonista,Step-ups
Sentadilla sissy asistida,Sentadilla,Glúteos,Agonista,Assisted Sissy Squat
Sentadilla en cajón,Sentadilla,Glúteos,Agonista,Box Squat
Sentadilla frontal,Sentadilla,Glúteos,Agonista,Front Squat
Sentadilla hack,Sentadilla,Glúteos,Agonista,Hack Squat
Prensa horizontal,Sentadilla,Glúteos,Agonista,Horizontal Leg Press
Prensa inclinada,Sentadilla,Glúteos,Agonista,Incline Leg Press
Sentadilla con salto,Sentadilla,Glúteos,Agonista,Jump Squat
Prensa de pierna,Sentadilla,Glúteos,Agonista,Leg Press
Prensa de pierna unilateral,Sentadilla,Glúteos,Agonista,Single-leg Leg Press
Sentadilla en Smith,Sentadilla,Glúteos,Agonista,Smith Machine Squat
Prensa de pierna sumo,Sentadilla,Glúteos,Agonista,Sumo Leg Press
Sentadilla touchdown,Sentadilla,Glúteos,Agonista,Touchdown Squat
Zancadas con barra,Sentadilla con peso libre,Glúteos,Agonista,Barbell Lunge
Sentadilla con barra,Sentadilla con peso libre,Glúteos,Agonista,Barbell Squat
Sentadilla búlgara,Sentadilla con peso libre,Glúteos,Agonista,Bulgarian Split Squat
Sentadilla profunda,Sentadilla con peso libre,Glúteos,Agonista,Deep Squat
Zancadas con mancuernas,Sentadilla con peso libre,Glúteos,Agonista,Dumbbell Lunge
Sentadilla goblet,Sentadilla con peso libre,Glúteos,Agonista,Goblet Squat
Sentadilla Jefferson,Sentadilla con peso libre,Glúteos,Agonista,Jefferson Squat
Zancadas laterales,Sentadilla con peso libre,Glúteos,Agonista,Lateral Lunge
Sentadilla overhead,Sentadilla con peso libre,Glúteos,Agonista,Overhead Squat
Sentadilla sissy,Sentadilla con peso libre,Glúteos,Agonista,Sissy Squat
Sentadilla split,Sentadilla con peso libre,Glúteos,Agonista,Split Squat
Zancadas en escalón,Sentadilla con peso libre,Glúteos,Agonista,Step Lunge
Sentadilla sumo,Sentadilla con peso libre,Glúteos,Agonista,Sumo Squat
Hiperextensiones,Bisagra de Cadera,Isquiostibiales,Agonista,Hyperextensions
Peso muerto con trap bar,Bisagra de Cadera,Isquiostibiales,Agonista,Trap Bar Deadlift
Hip thrust con barra,Bisagra de Cadera (Hip Thrust),Isquiostibiales,Sinergista fuerte,Barbell Hip Thrust
Puente de glúteos con mancuernas,Bisagra de Cadera (Hip Thrust),Isquiostibiales,Sinergista fuerte,Dumbbell Glute Bridge
Puente de glúteos,Bisagra de Cadera (Hip Thrust),Isquiostibiales,Sinergista fuerte,Glute Bridge
Hip thrust,Bisagra de Cadera (Hip Thrust),Isquiostibiales,Sinergista fuerte,Hip Thrust
Hip thrust unilateral,Bisagra de Cadera (Hip Thrust),Isquiostibiales,Sinergista fuerte,Single-leg Hip Thrust
Peso muerto convencional,Bisagra de Cadera (Peso muerto convencional),Isquiostibiales,Agonista,Conventional Deadlift
Peso muerto con mancuernas,Bisagra de Cadera (Peso muerto convencional),Isquiostibiales,Agonista,Dumbbell Deadlift
Peso muerto con kettlebell,Bisagra de Cadera (Peso muerto convencional),Isquiostibiales,Agonista,Kettlebell Deadlift
Peso muerto unilateral,Bisagra de Cadera (Peso muerto convencional),Isquiostibiales,Agonista,Single-leg Deadlift
Peso muerto con mancuernas unilateral,Bisagra de Cadera (Peso muerto convencional),Isquiostibiales,Agonista,Single-leg Dumbbell Deadlift
Peso muerto sumo,Bisagra de Cadera (Peso muerto convencional),Isquiostibiales,Agonista,Sumo Deadlift
Peso muerto rumano,Bisagra de Cadera (Peso muerto rumano),Isquiostibiales,Agonista,Romanian Deadlift
Flexión de pierna acostado,Ejercicios de Aislamiento,Isquiostibiales,Agonista,Lying Leg Curl
Flexión de pierna en máquina,Ejercicios de Aislamiento,Isquiostibiales,Agonista,Machine Leg Curl
Curl de pierna sentado,Ejercicios de Aislamiento,Isquiostibiales,Agonista,Seated Leg Curl
Curl de pierna unilateral,Ejercicios de Aislamiento,Isquiostibiales,Agonista,Single-leg Leg Curl
Flexión de pierna de pie,Ejercicios de Aislamiento,Isquiostibiales,Agonista,Standing Leg Curl
Step-up con barra,Extensión Horizontal de Cadera,Isquiostibiales,Sinergista fuerte,Barbell Step-up
Peso muerto búlgaro,Extensión Horizontal de Cadera,Isquiostibiales,Sinergista fuerte,Bulgarian Deadlift
Zancadas en Smith,Extensión Horizontal de Cadera,Isquiostibiales,Sinergista fuerte,Smith Machine Lunges
Step-ups,Extensión Horizontal de Cadera,Isquiostibiales,Sinergista fuerte,Step-ups
Aperturas con mancuernas,Aperturas,Pectorales,Agonista,Dumbbell Flyes
Cruce de poleas baja,Aperturas,Pectorales,Agonista,Low Cable Crossover
Press de banca,Empuje Horizontal,Pectorales,Agonista,Bench Press
Press de pecho en polea,Empuje Horizontal,Pectorales,Agonista,Cable Chest Press
Press declinado con mancuernas,Empuje Horizontal,Pectorales,Agonista,Decline Dumbbell Press
Press declinado,Empuje Horizontal,Pectorales,Agonista,Decline Press
Flexión en fitball,Empuje Horizontal,Pectorales,Agonista,Fitball Push-up
Press plano con mancuernas,Empuje Horizontal,Pectorales,Agonista,Flat Dumbbell Press
Press de banca en máquina Hammer,Empuje Horizontal,Pectorales,Agonista,Hammer Strength Bench Press
Press de pecho en máquina,Empuje Horizontal,Pectorales,Agonista,Machine Chest Press
Flexiones,Empuje Horizontal,Pectorales,Agonista,Push-ups
Press de pecho con banda elástica,Empuje Horizontal,Pectorales,Agonista,Resistance Band Chest Press
Fondos de tríceps en banco,Empuje Horizontal (agarre estrecho o fondo),Pectorales,Sinergista fuerte,Bench Triceps Dips
Press de banca con agarre cerrado,Empuje Horizontal (agarre estrecho o fondo),Pectorales,Sinergista fuerte,Close-grip Bench Press
Flexiones con elevación de pierna,Empuje Horizontal (agarre estrecho o fondo),Pectorales,Sinergista fuerte,Leg Raise Push-ups
Fondos en paralelas,Empuje Horizontal (agarre estrecho o fondo),Pectorales,Sinergista fuerte,Parallel Bar Dips
Press inclinado con barra,Empuje Horizontal (si es inclinado),Pectorales,Agonista,Incline Barbell Press
Press inclinado en polea,Empuje Horizontal (si es inclinado),Pectorales,Agonista,Incline Cable Press
Press inclinado con mancuernas,Empuje Horizontal (si es inclinado),Pectorales,Agonista,Incline Dumbbell Press
Press inclinado en máquina,Empuje Horizontal (si es inclinado),Pectorales,Agonista,Incline Machine Press
Press inclinado,Empuje Horizontal (si es inclinado),Pectorales,Agonista,Incline Press
Press inclinado en Smith,Empuje Horizontal (si es inclinado),Pectorales,Agonista,Incline Smith Press
Pullover en polea,Pullover,Pectorales,Sinergista fuerte,Cable Pull-over
Pull-over con mancuerna,Pullover,Pectorales,Sinergista fuerte,Dumbbell Pull-over
Pull-over en máquina,Pullover,Pectorales,Sinergista fuerte,Machine Pull-over
Extensiones de tríceps con barra,Ejercicios de Aislamiento,Tríceps,Agonista,Barbell Triceps Extension
Extensiones de tríceps en polea,Ejercicios de Aislamiento,Tríceps,Agonista,Cable Triceps Extension
Tríceps en polea,Ejercicios de Aislamiento,Tríceps,Agonista,Cable Triceps Pushdown
Skullcrusher con mancuernas,Ejercicios de Aislamiento,Tríceps,Agonista,Dumbbell skull crusher
Extensiones de tríceps con manc.,Ejercicios de Aislamiento,Tríceps,Agonista,Dumbbell Triceps Extension
Press francés,Ejercicios de Aislamiento,Tríceps,Agonista,French Press
Press de pierna en máquina,Ejercicios de Aislamiento,Tríceps,Agonista,Leg Press Machine
Extensión de tríceps acostado,Ejercicios de Aislamiento,Tríceps,Agonista,Lying Triceps Extension
Extensiones en máquina,Ejercicios de Aislamiento,Tríceps,Agonista,Machine Triceps Extension
Extensiones overhead,Ejercicios de Aislamiento,Tríceps,Agonista,Overhead Extensions
Extensión de tríceps en cuerda,Ejercicios de Aislamiento,Tríceps,Agonista,Rope Triceps Extension
Tríceps en barra en polea alta,Ejercicios de Aislamiento,Tríceps,Agonista,Straight Bar Cable Triceps Pushdown
Patada de tríceps,Ejercicios de Aislamiento,Tríceps,Agonista,Triceps Kickback
Tríceps en máquina,Ejercicios de Aislamiento,Tríceps,Agonista,Triceps Machine
Press francés unilateral,Ejercicios de Aislamiento,Tríceps,Agonista,Unilateral French Press
Press de banca,Empuje Horizontal,Tríceps,Sinergista fuerte,Bench Press
Press de pecho en polea,Empuje Horizontal,Tríceps,Sinergista fuerte,Cable Chest Press
Press declinado con mancuernas,Empuje Horizontal,Tríceps,Sinergista fuerte,Decline Dumbbell Press
Press declinado,Empuje Horizontal,Tríceps,Sinergista fuerte,Decline Press
Flexión en fitball,Empuje Horizontal,Tríceps,Sinergista fuerte,Fitball Push-up
Press plano con mancuernas,Empuje Horizontal,Tríceps,Sinergista fuerte,Flat Dumbbell Press
Press de banca en máquina Hammer,Empuje Horizontal,Tríceps,Sinergista fuerte,Hammer Strength Bench Press
Press de pecho en máquina,Empuje Horizontal,Tríceps,Sinergista fuerte,Machine Chest Press
Flexiones,Empuje Horizontal,Tríceps,Sinergista fuerte,Push-ups
Press de pecho con banda elástica,Empuje Horizontal,Tríceps,Sinergista fuerte,Resistance Band Chest Press
Fondos de tríceps en banco,Empuje Horizontal (agarre estrecho o fondo),Tríceps,Agonista,Bench Triceps Dips
Press de banca con agarre cerrado,Empuje Horizontal (agarre estrecho o fondo),Tríceps,Agonista,Close-grip Bench Press
Flexiones con elevación de pierna,Empuje Horizontal (agarre estrecho o fondo),Tríceps,Agonista,Leg Raise Push-ups
Fondos en paralelas,Empuje Horizontal (agarre estrecho o fondo),Tríceps,Agonista,Parallel Bar Dips
Press inclinado con barra,Empuje Horizontal (si es inclinado),Tríceps,Sinergista leve,Incline Barbell Press
Press inclinado en polea,Empuje Horizontal (si es inclinado),Tríceps,Sinergista leve,Incline Cable Press
Press inclinado con mancuernas,Empuje Horizontal (si es inclinado),Tríceps,Sinergista leve,Incline Dumbbell Press
Press inclinado en máquina,Empuje Horizontal (si es inclinado),Tríceps,Sinergista leve,Incline Machine Press
Press inclinado,Empuje Horizontal (si es inclinado),Tríceps,Sinergista leve,Incline Press
Press inclinado en Smith,Empuje Horizontal (si es inclinado),Tríceps,Sinergista leve,Incline Smith Press
Press Arnold,Empuje Vertical,Tríceps,Sinergista fuerte,Arnold Press
Press militar con barra,Empuje Vertical,Tríceps,Sinergista fuerte,Barbell Overhead Press
Press militar con mancuernas,Empuje Vertical,Tríceps,Sinergista fuerte,Dumbbell Shoulder Press
Press militar en máquina,Empuje Vertical,Tríceps,Sinergista fuerte,Machine Shoulder Press
Flexiones pike,Empuje Vertical,Tríceps,Sinergista fuerte,Pike Push-ups
Press militar con banda elástica,Empuje Vertical,Tríceps,Sinergista fuerte,Resistance Band Overhead Press
Pullover en polea,Pullover,Tríceps,Sinergista leve,Cable Pull-over
Pull-over con mancuerna,Pullover,Tríceps,Sinergista leve,Dumbbell Pull-over
Pull-over en máquina,Pullover,Tríceps,Sinergista leve,Machine Pull-over
Escalada en banco,,,,Bench Climb
Bicicleta,,,,Bicycle
Paseos del granjero,,,,Farmer's Walk
Swing con kettlebell,,,,Kettlebell Swing
Escalador,,,,Mountain Climber
